# dumped at t=1 ps
e_aq^-1 -8.78467 -21.3719 -964.068
e_aq^-1 0.682458 -8.03056 -974.787
e_aq^-1 -12.839 7.76286 -967.888
e_aq^-1 -13.9678 -6.19837 -969.951
e_aq^-1 -11.5017 5.63522 -968.826
e_aq^-1 -16.2464 -7.77815 -967.284
e_aq^-1 -2.65585 -16.0285 -947.745
e_aq^-1 -26.3147 -5.09338 -986.618
e_aq^-1 -9.98879 -7.79936 -964.621
e_aq^-1 -27.6454 -12.518 -955.379
e_aq^-1 -27.3815 -5.52185 -976.334
e_aq^-1 -15.4875 2.25338 -969.314
e_aq^-1 -19.6526 8.97223 -945.908
e_aq^-1 -7.95387 -1.77281 -962.972
e_aq^-1 -14.5777 1.94577 -954.686
e_aq^-1 -10.3959 -7.39424 -959.851
e_aq^-1 -19.0565 -21.072 -951.881
e_aq^-1 -9.81478 -12.0123 -958.004
e_aq^-1 -14.9749 10.9019 -952.59
e_aq^-1 -31.7893 -5.49132 -950.58
e_aq^-1 -20.2001 -7.682 -960.89
e_aq^-1 -6.75667 -10.0394 -946.163
e_aq^-1 -11.8987 -14.5507 -944.098
e_aq^-1 -8.85249 -9.66041 -941.406
e_aq^-1 -10.4248 -6.02089 -957.427
e_aq^-1 -29.3542 -6.18936 -936.207
e_aq^-1 -20.1722 7.86055 -943.004
e_aq^-1 -4.18395 -0.399451 -937.556
e_aq^-1 -8.89194 -0.446194 -937.283
e_aq^-1 -9.65741 0.13421 -935.36
e_aq^-1 -20.8257 -8.89698 -935.359
e_aq^-1 -11.7891 -1.35664 -937.3
e_aq^-1 -0.111628 -12.8437 -931.683
e_aq^-1 -33.0708 1.51339 -909.711
e_aq^-1 -12.5999 -8.21549 -929.583
e_aq^-1 -22.7909 -2.57617 -926.637
e_aq^-1 -20.7201 -7.65474 -912.027
e_aq^-1 -20.6985 -7.00316 -937.241
e_aq^-1 -15.7782 -17.535 -912.619
e_aq^-1 -5.60542 -2.94584 -917.121
e_aq^-1 -16.9484 -9.86472 -917.994
e_aq^-1 -11.1928 -5.53754 -920.49
e_aq^-1 -21.6307 -5.58701 -922.44
e_aq^-1 -39.6592 6.01312 -906.873
e_aq^-1 -4.51837 -14.2501 -922.878
e_aq^-1 9.79065 7.29145 -921.264
e_aq^-1 -28.3197 -12.7905 -906.213
e_aq^-1 -24.665 13.1481 -911.325
e_aq^-1 -4.32895 -33.8862 -916.837
e_aq^-1 -2.92802 7.73005 -926.879
e_aq^-1 -30.7627 -24.2577 -912.679
e_aq^-1 -14.0166 -12.0354 -908.128
e_aq^-1 -21.3905 -11.3897 -910.889
e_aq^-1 -10.1006 -17.5317 -899.307
e_aq^-1 -17.4306 -3.70267 -907.561
e_aq^-1 -17.9906 -8.68414 -908.277
e_aq^-1 -29.3314 -15.057 -895.55
e_aq^-1 -16.5372 -4.35712 -908.803
e_aq^-1 -26.0757 0.617681 -891.283
e_aq^-1 -0.926087 -11.0473 -901.596
e_aq^-1 -10.8689 -6.28379 -913.777
e_aq^-1 -18.1026 -20.1074 -896.836
e_aq^-1 -4.83092 -8.89221 -896.081
e_aq^-1 -23.8984 -14.6168 -896.831
e_aq^-1 -8.8597 -15.2079 -905.779
e_aq^-1 -23.1448 -23.6077 -905.061
e_aq^-1 7.77856 -9.45536 -898.373
e_aq^-1 -14.9955 1.89333 -876.111
e_aq^-1 -16.2807 -4.41049 -886.153
e_aq^-1 -25.1064 1.85596 -902.383
e_aq^-1 1.79341 -17.9479 -912.56
e_aq^-1 -15.757 -17.4724 -885.524
e_aq^-1 -11.6261 -16.1642 -886.769
e_aq^-1 -29.3206 -25.9614 -880.495
e_aq^-1 -17.2383 -3.9069 -889.324
e_aq^-1 -3.82175 -20.7722 -894.484
e_aq^-1 -13.1339 -5.80186 -875.748
e_aq^-1 -6.23231 -10.2558 -872.613
e_aq^-1 -22.609 0.101347 -866.895
e_aq^-1 0.109449 3.84234 -871.076
e_aq^-1 -24.1325 -12.188 -856.394
e_aq^-1 -16.4984 -3.74905 -876.878
e_aq^-1 -14.8208 -13.5796 -863.657
e_aq^-1 -18.8765 -9.15995 -868.009
e_aq^-1 -15.7851 -17.9007 -857.001
e_aq^-1 -27.9928 -12.1282 -850.139
e_aq^-1 -5.18485 -20.05 -894.222
e_aq^-1 -12.8186 -11.8756 -854.506
e_aq^-1 -36.0047 -33.9825 -876.895
e_aq^-1 -13.4991 -14.9025 -865.616
e_aq^-1 -15.1995 -20.4256 -859.721
e_aq^-1 -27.8077 -37.3018 -847.308
e_aq^-1 -5.73641 -7.51485 -845.203
e_aq^-1 -21.4525 -0.293287 -865.759
e_aq^-1 -8.26279 -10.4297 -848.371
e_aq^-1 -38.623 -16.2525 -863.929
e_aq^-1 -11.865 0.628779 -863.642
e_aq^-1 -35.0292 -10.8785 -850.205
e_aq^-1 -35.6074 2.30322 -843.556
e_aq^-1 -19.4808 12.7899 -852.079
e_aq^-1 -12.5099 24.4507 -854.298
e_aq^-1 -13.3769 1.13725 -832.234
e_aq^-1 -24.9781 0.29856 -833.101
e_aq^-1 -26.9252 10.6693 -839.501
e_aq^-1 -23.1966 -7.9326 -831.174
e_aq^-1 -11.2466 0.259872 -833.072
e_aq^-1 -11.8864 13.2402 -837.392
e_aq^-1 -20.7785 -2.20802 -839.989
e_aq^-1 -23.3441 -13.6 -856.826
e_aq^-1 -24.9866 -11.5846 -838.273
e_aq^-1 -41.1657 -14.2865 -829.081
e_aq^-1 -27.0031 -3.4848 -849.027
e_aq^-1 -44.6163 4.88688 -830.759
e_aq^-1 -26.6678 27.7918 -835.181
e_aq^-1 -38.6641 -3.20783 -819.68
e_aq^-1 -33.735 0.958403 -836.366
e_aq^-1 -25.0834 -0.0883128 -818.385
e_aq^-1 -45.0092 12.6322 -825.988
e_aq^-1 -11.2167 3.20736 -814.875
e_aq^-1 -34.6949 2.25678 -798.446
e_aq^-1 -25.8354 -5.27179 -811.987
e_aq^-1 -30.9192 -1.61899 -813.775
e_aq^-1 -40.3342 -4.3694 -808.338
e_aq^-1 -40.9118 -5.82062 -806.997
e_aq^-1 -27.6695 -0.246515 -817.604
e_aq^-1 -20.3654 -8.38133 -810.114
e_aq^-1 -35.1295 9.82554 -806.883
e_aq^-1 -26.8358 12.9188 -815.853
e_aq^-1 -33.9191 -26.4557 -804.157
e_aq^-1 -44.3646 11.5091 -818.373
e_aq^-1 -41.5448 -10.4196 -795.522
e_aq^-1 -43.2207 -1.38 -805.022
e_aq^-1 -19.7496 5.52904 -795.316
e_aq^-1 -27.3606 14.1768 -805.098
e_aq^-1 -31.8742 -4.85195 -805.919
e_aq^-1 -46.1009 -3.08504 -797.581
e_aq^-1 -73.669 5.30199 -792.781
e_aq^-1 -36.535 17.5917 -786.668
e_aq^-1 -40.2431 7.21261 -799.686
e_aq^-1 -42.4811 0.881911 -795.152
e_aq^-1 -40.436 6.77584 -797.012
e_aq^-1 -50.1093 -9.33649 -798.434
e_aq^-1 -48.0768 9.66827 -813.205
e_aq^-1 -57.7317 11.7365 -797.728
e_aq^-1 -45.7236 2.09963 -781.834
e_aq^-1 -55.3673 7.65785 -789.265
e_aq^-1 -45.3779 9.53309 -801.75
e_aq^-1 -64.8465 9.91615 -800.549
e_aq^-1 -56.3635 7.7027 -796.731
e_aq^-1 -53.6926 18.5094 -782.946
e_aq^-1 -27.5422 17.7904 -799.246
e_aq^-1 -50.7483 15.2248 -802.449
e_aq^-1 -25.6767 -3.28548 -786.843
e_aq^-1 -49.5893 27.7824 -773.377
e_aq^-1 -36.0646 1.26311 -785.356
e_aq^-1 -64.9675 15.6126 -793.589
e_aq^-1 -32.4511 -2.69319 -806.707
e_aq^-1 -45.1873 0.115248 -795.63
e_aq^-1 -54.8214 7.65297 -794.649
e_aq^-1 -62.7908 25.1563 -776.92
e_aq^-1 -40.827 7.25022 -770.773
e_aq^-1 -50.0819 12.2627 -778.7
e_aq^-1 -46.5611 10.0969 -778.676
e_aq^-1 -53.2959 9.80977 -781.46
e_aq^-1 -40.9997 25.1361 -770.535
e_aq^-1 -52.706 4.81537 -783.786
e_aq^-1 -70.3139 4.56472 -760.801
e_aq^-1 -52.5556 3.40695 -772.785
e_aq^-1 -67.42 4.75674 -769.903
e_aq^-1 -51.7258 6.45025 -774.22
e_aq^-1 -58.7384 -5.10261 -787.622
e_aq^-1 -44.1444 15.1558 -778.207
e_aq^-1 -66.1401 8.84346 -763.255
e_aq^-1 -60.8196 13.0893 -770.735
e_aq^-1 -53.5089 48.4864 -754.151
e_aq^-1 -67.6933 10.8155 -767.094
e_aq^-1 -91.0664 -11.1053 -768.857
e_aq^-1 -61.9475 -4.37023 -762.56
e_aq^-1 -61.0646 19.1557 -773.28
e_aq^-1 -50.1284 3.30574 -780.391
e_aq^-1 -64.287 -2.13018 -769.744
e_aq^-1 -72.0655 14.3098 -765.991
e_aq^-1 -66.8473 12.0438 -760.714
e_aq^-1 -65.1259 15.8343 -765.15
e_aq^-1 -60.4551 30.5281 -762.902
e_aq^-1 -71.8843 7.35123 -770.172
e_aq^-1 -72.9528 13.6905 -764.281
e_aq^-1 -63.1562 12.4414 -756.699
e_aq^-1 -32.9569 14.1541 -750.799
e_aq^-1 -78.9105 11.7948 -760.716
e_aq^-1 -50.0974 20.8388 -737.675
e_aq^-1 -56.8018 11.1539 -740.819
e_aq^-1 -55.7626 16.4076 -747.812
e_aq^-1 -66.6942 11.2181 -749.624
e_aq^-1 -61.3604 13.0934 -748.612
e_aq^-1 -67.7669 15.1495 -744.688
e_aq^-1 -60.7592 23.3109 -762.831
e_aq^-1 -57.3707 27.3535 -747.287
e_aq^-1 -56.1557 18.1672 -742.895
e_aq^-1 -53.1553 29.0994 -736.791
e_aq^-1 -87.9816 30.433 -766.182
e_aq^-1 -67.8511 26.9112 -736.18
e_aq^-1 -71.4725 22.1768 -746.934
e_aq^-1 -69.3125 18.6927 -747.298
e_aq^-1 -88.7352 7.05178 -735.274
e_aq^-1 -68.8643 16.8147 -739.094
e_aq^-1 -57.6837 38.7397 -750.415
e_aq^-1 -67.7361 29.3203 -735.339
e_aq^-1 -77.1841 53.731 -727.185
e_aq^-1 -80.692 24.1608 -750.305
e_aq^-1 -78.4871 24.1946 -734.201
e_aq^-1 -83.6645 23.832 -729.024
e_aq^-1 -67.1709 35.1675 -714.725
e_aq^-1 -88.8596 24.3621 -708.505
e_aq^-1 -73.7205 22.5279 -731.34
e_aq^-1 -76.1362 17.0504 -730.828
e_aq^-1 -59.8953 24.6769 -724.387
e_aq^-1 -77.4269 28.9162 -744.932
e_aq^-1 -57.2603 38.1487 -732.79
e_aq^-1 -75.8238 15.5894 -723.182
e_aq^-1 -75.2062 39.4096 -716.499
e_aq^-1 -89.2244 34.6859 -714.85
e_aq^-1 -78.4156 23.316 -721.075
e_aq^-1 -76.5114 26.1239 -734.519
e_aq^-1 -84.4017 32.9775 -746.291
